beta,gamma,epsilon
0.110536,0.008774,1.644890
0.074916,0.014442,4.440387
0.112525,0.013456,5.344218
0.114809,0.014357,4.606458
0.112059,0.009025,2.069075
0.132529,0.010026,4.549635
0.088774,0.015067,3.820680
0.102766,0.013122,2.884970
0.120205,0.008042,3.226405
0.116625,0.020566,5.935632
0.090199,0.016621,5.866609
0.106659,0.019417,5.465700
0.106073,0.015179,3.491086
0.084991,0.016412,5.123772
0.090781,0.014607,5.055459
0.113613,0.010994,2.110879
0.097592,0.014170,3.997245
0.100496,0.014669,3.522804
0.118401,0.016108,5.318415
0.125355,0.015870,5.133659
0.107973,0.018833,5.709117
0.097852,0.016777,4.989830
0.123928,0.010959,2.322513
0.095412,0.010426,1.424655
0.122636,0.007114,4.929522
0.097265,0.009884,1.495451
0.129964,0.010206,3.567343
0.117816,0.016187,5.279698
0.110765,0.012636,4.116030
0.087790,0.015880,4.889119
0.121338,0.007309,4.952354
0.131425,0.012487,5.407855
0.097658,0.018471,4.888035
0.088493,0.013223,5.741632
0.107095,0.011750,2.204608
0.150634,0.015113,5.244959
0.133543,0.007868,4.290896
0.096263,0.015755,4.761493
0.120750,0.015746,4.187822
0.117899,0.012384,2.033710
0.101983,0.019403,5.555623
0.122508,0.013937,5.624183
0.124321,0.012145,4.215999
0.120954,0.008167,2.408290
0.107987,0.012324,1.744970
0.070538,0.009142,5.474958
0.107949,0.017988,5.016445
0.117315,0.011683,2.862077
0.133136,0.012877,4.786008
0.136093,0.012417,4.549456
0.106672,0.017521,4.885823
0.115542,0.018003,5.536665
0.120921,0.009495,1.676925
0.079405,0.008839,5.403949
0.070902,0.010995,5.683803
0.108874,0.018147,5.647810
0.079740,0.018508,5.876112
0.108644,0.016409,4.588939
0.113424,0.019177,5.130967
0.122752,0.015720,5.297541
0.088806,0.012129,2.156196
0.141816,0.008795,4.088417
0.125689,0.006946,4.859988
0.119771,0.007114,4.492829
0.125810,0.008846,2.994981
0.096218,0.015832,4.724037
0.088416,0.008229,4.202658
0.099163,0.010954,1.711588
0.094201,0.015995,4.330433
0.121167,0.018810,5.558160
0.135065,0.012534,4.404734
0.108978,0.017921,5.413621
0.135001,0.010007,3.135754
0.145576,0.010761,5.075723
0.119822,0.010946,1.105708
0.105969,0.011060,1.318733
0.100754,0.015610,4.070795
0.097338,0.015062,4.183515
0.107902,0.011755,1.758215
0.121492,0.009897,2.834007
0.137545,0.006853,5.183769
0.094606,0.017140,4.799676
0.072878,0.012675,5.504902
0.101420,0.013804,2.732188
0.095349,0.016717,4.899453
0.140627,0.012778,5.211503
0.124314,0.013574,4.339063
0.110105,0.009912,2.233253
0.135875,0.012375,3.345531
0.114670,0.014030,3.483119
0.107698,0.019505,5.772339
0.090270,0.008535,3.391778
0.156225,0.009098,5.168561
0.111475,0.019447,5.652309
0.123066,0.006690,5.506047
0.124576,0.008689,3.465301
0.097231,0.006165,5.178802
0.075461,0.011315,4.314003
0.110605,0.011983,3.581047
0.155135,0.007074,5.708521
0.123305,0.008370,2.844099
0.124615,0.013110,3.595411
0.094642,0.016228,4.592486
0.136348,0.012959,5.151888
0.113028,0.011656,1.528659
0.097705,0.014794,4.403123
0.117513,0.018921,5.286693
0.086934,0.011942,2.537667
0.117532,0.012489,3.058393
0.119221,0.017693,5.743070
0.096609,0.016429,5.213666
0.144346,0.009051,5.415082
0.085242,0.008554,5.488758
0.123339,0.013376,3.316263
0.087432,0.016197,5.277102
0.135594,0.013271,3.824341
0.083971,0.008017,3.449674
0.142435,0.007965,5.173324
0.099241,0.010566,1.050115
0.087947,0.016458,5.401742
0.113383,0.011678,2.362069
0.141635,0.009655,4.121177
0.121671,0.013150,5.762549
0.105912,0.017901,5.653200
0.094899,0.009792,2.569485
0.083829,0.013581,4.188298
0.086364,0.008334,3.452866
0.159089,0.010049,5.327690
0.122542,0.012144,3.444125
0.090035,0.013548,3.254054
0.123358,0.019151,5.285882
0.101970,0.012606,2.355811
0.090889,0.010939,2.896082
0.100756,0.012903,2.423881
0.114200,0.009461,1.671796
0.088878,0.013739,4.661681
0.091165,0.014988,4.981150
0.083362,0.011425,3.336380
0.131322,0.011849,5.670946
0.108996,0.012118,1.926901
0.108458,0.009813,1.619830
0.117536,0.016979,5.017398
0.116427,0.011094,2.100563
0.111695,0.011327,2.967371
0.108144,0.010544,2.196457
0.114365,0.017460,5.053291
0.110519,0.009677,1.986081
0.130911,0.012441,4.603803
0.113224,0.005974,5.577906
0.118232,0.009511,1.164227
0.117846,0.017200,4.880033
0.096498,0.016494,4.778759
0.112525,0.017875,5.252799
0.131044,0.008302,3.236342
0.094927,0.013980,3.014093
0.085162,0.013230,3.431511
0.126663,0.015779,5.418879
0.123089,0.013489,2.977334
0.136470,0.007444,4.630082
0.101281,0.008208,2.492986
0.126069,0.018643,5.364019
0.104122,0.017688,4.939946
0.129805,0.010340,3.469619
0.145174,0.010261,5.116508
0.088133,0.013700,3.640973
0.107455,0.014682,4.803958
0.124000,0.008831,2.602823
0.097946,0.007942,2.909405
0.082206,0.013045,4.071590
0.130145,0.010741,2.664775
0.091024,0.015692,3.654639
0.115934,0.020974,5.933370
0.096785,0.010305,2.020022
0.111086,0.009116,1.709583
0.113283,0.012404,2.902140
0.111106,0.007671,3.114189
0.092773,0.007870,3.623480
0.101809,0.008938,1.220930
0.157644,0.009572,4.924358
0.104961,0.019055,5.488254
0.083713,0.013031,4.465407
0.092695,0.018168,5.472867
0.120965,0.011638,3.828966
0.109281,0.008166,3.233641
0.085648,0.008197,5.669051
0.114568,0.016139,4.231432
0.102552,0.007348,3.344424
0.129019,0.009892,2.768335
0.118906,0.011539,2.223332
0.122520,0.012428,4.224462
0.101804,0.012305,2.212378
0.106885,0.008125,3.265808
0.097356,0.016174,4.746004
0.107976,0.011800,3.165301
0.123843,0.009887,2.866556
0.094434,0.018494,5.650032
0.091863,0.013188,3.457823
0.122596,0.013408,5.398107
0.091956,0.012138,2.327663
0.099040,0.015208,4.806073
0.089791,0.006797,5.285461
0.136444,0.015367,4.530296
0.120551,0.006560,5.131791
0.107467,0.007530,3.813285
0.110409,0.018813,5.311440
0.094254,0.016463,4.614478
0.130180,0.011947,3.634366
0.138941,0.009380,3.571673
0.123865,0.010566,1.960418
0.097242,0.019699,5.923212
0.092058,0.011212,1.948306
0.089196,0.011646,4.772343
0.096255,0.011821,1.256892
0.109259,0.016929,5.946406
0.090559,0.011047,1.244687
0.099841,0.013387,3.357600
0.124972,0.007166,4.468316
0.091225,0.011756,3.452789
0.085267,0.008198,4.214779
0.109375,0.013351,4.596409
0.091491,0.019210,5.579406
0.116875,0.017229,4.798901
0.114503,0.007586,3.867560
0.122826,0.006979,4.399194
0.121439,0.013452,4.248700
0.097046,0.012862,3.508488
0.115585,0.019929,5.974715
0.101424,0.017950,5.391364
0.107047,0.006778,4.641600
0.101578,0.019326,5.849142
0.089193,0.010055,2.364877
0.150676,0.012524,5.732216
0.101408,0.008441,2.085899
0.086511,0.014411,3.839894
0.105539,0.018812,5.815147
0.106170,0.010092,0.641945
0.082450,0.011632,2.878122
0.102819,0.018008,5.248346
0.142073,0.010809,3.530125
0.084334,0.013747,5.766421
0.077125,0.011446,4.981945
0.091998,0.018273,5.104275
0.106685,0.009371,1.257868
0.115501,0.017778,4.946179
0.130975,0.010826,2.701273
0.131506,0.008724,3.074865
0.104765,0.017936,5.424707
0.117908,0.012504,4.029394
0.084948,0.017891,5.725295
0.141095,0.009068,4.515472
0.120975,0.012262,3.560375
0.102390,0.006864,4.968212
0.097791,0.013048,3.935655
0.115932,0.018551,5.393029
0.086877,0.014255,4.240580
0.098412,0.008729,2.091649
0.118444,0.015264,4.655573
0.107706,0.012388,2.511047
0.092762,0.007785,5.025261
0.100202,0.006822,5.079673
0.110450,0.006142,5.766346
0.101837,0.013376,3.592618
0.117330,0.019524,5.642087
0.082446,0.013431,4.359504
0.095866,0.013643,3.524456
0.095126,0.019261,5.915570
0.132712,0.014022,5.957360
0.119874,0.007870,3.073677
0.098931,0.009372,1.787243
0.115691,0.010306,1.844751
0.118929,0.012212,3.067156
0.121871,0.018189,5.050820
0.089013,0.012377,2.324659
0.098382,0.007714,3.285075
0.120444,0.007189,3.992355
0.085499,0.011550,3.816606
0.109597,0.011323,2.245651
0.095493,0.017286,4.759470
0.134596,0.011689,2.874948
0.099125,0.012315,1.979082
0.110072,0.017058,4.721462
0.124544,0.010992,4.426243
0.091741,0.015334,4.302139
0.149924,0.006642,5.821243
0.098379,0.013318,3.395609
0.108666,0.020453,5.961792
0.122777,0.009776,2.509838
0.092839,0.014306,4.594511
0.099131,0.018212,5.236362
0.132379,0.016696,5.848323
0.130249,0.018238,5.913073
0.104095,0.013321,3.093214
0.123105,0.007162,3.809300
0.146585,0.006760,5.752085
0.108412,0.020098,5.758066
0.108173,0.020148,5.841091
0.132703,0.014611,5.471681
0.099629,0.014128,3.102953
0.116997,0.017732,5.829971
0.109123,0.007140,3.814258
0.108366,0.008649,2.512522
0.107907,0.018039,5.411797
0.101258,0.009419,0.790264
0.089869,0.016163,5.065760
0.116611,0.015997,4.346527
0.118457,0.009395,3.116923
0.117194,0.010315,2.525179
0.082773,0.016841,5.802639
0.087731,0.010512,1.863879
0.095285,0.014759,4.106612
0.119951,0.018974,5.385010
0.098436,0.006572,4.783785
0.087242,0.014282,4.372967
0.088209,0.012574,5.652049
0.139616,0.012068,4.602581
0.100065,0.014729,4.276025
0.094233,0.006793,4.273312
0.126348,0.009629,1.959761
0.088052,0.011119,4.914591
0.097177,0.018980,5.932867
0.112476,0.016044,3.838142
0.124565,0.011996,3.250327
0.095180,0.013417,3.453077
0.102541,0.007476,3.042453
0.110755,0.006800,3.719724
0.108091,0.015938,3.905252
0.116843,0.012524,4.092190
0.085201,0.010177,4.827862
0.100697,0.008868,1.323609
0.110257,0.011720,1.906696
0.123152,0.009288,1.682107
0.088214,0.007055,5.477597
0.124774,0.015002,4.328077
0.118634,0.012899,3.289282
0.119972,0.009633,2.012155
0.113324,0.011644,1.705999
0.147359,0.007949,5.354848
0.089082,0.014330,3.983991
0.130254,0.020901,5.777925
0.092099,0.006975,5.907222
0.132890,0.009385,2.781581
0.107556,0.012656,2.327620
0.082359,0.009495,4.077080
0.123981,0.013048,4.725518
0.098406,0.013797,3.143982
0.122785,0.009248,2.264818
0.093371,0.017486,5.220403
0.113556,0.012398,2.679203
0.112566,0.018685,5.582041
0.125291,0.016167,5.927290
0.137997,0.008154,5.235982
0.125809,0.010721,4.162902
0.100691,0.011777,1.770439
0.106073,0.009871,1.513040
0.109631,0.009487,0.670735
0.176399,0.009057,5.900085
0.123255,0.007449,3.368784
0.090302,0.016626,4.963841
0.098130,0.015567,5.003700
0.147800,0.010761,4.220847
0.105757,0.007410,3.627113
0.129084,0.008899,3.704101
0.114862,0.007720,2.846677
0.125883,0.014038,4.487513
0.104982,0.018429,5.279718
0.101540,0.020862,5.638089
0.132302,0.014573,4.262037
0.121557,0.010083,2.077036
0.083338,0.016233,5.123716
0.113795,0.012042,3.145803
0.111049,0.012580,1.923679
0.116123,0.015666,4.292383
0.108130,0.010659,2.926728
0.110420,0.014777,4.699064
0.104141,0.012493,2.045894
0.095942,0.008997,2.417134
0.120308,0.008444,2.835184
0.098644,0.007170,4.183564
0.123869,0.006586,5.374740
0.119579,0.009994,3.048286
0.139634,0.010043,3.366195
0.099480,0.013297,2.162223
0.124249,0.006715,4.516541
0.130077,0.007491,4.274615
0.093561,0.010933,3.106323
0.128047,0.017581,5.384411
0.102837,0.018371,5.533963
0.119241,0.012343,3.483907
0.110695,0.013710,3.242678
0.112238,0.012473,3.800738
0.107299,0.011910,2.654551
0.098507,0.019188,5.440919
0.097191,0.012244,2.859807
0.081845,0.009467,3.681083
0.100159,0.011982,2.075390
0.084243,0.014888,5.659045
0.164437,0.011518,5.853278
0.127971,0.012927,4.612107
0.118288,0.009350,3.598047
0.116698,0.018059,5.834153
0.106723,0.012146,2.230202
0.115787,0.011970,1.944274
0.081138,0.012021,4.967031
0.080675,0.009418,5.406935
0.109519,0.008758,2.431667
0.125777,0.008199,3.832740
0.084197,0.010052,3.839215
0.109743,0.007364,3.866279
0.126816,0.013305,4.309749
0.113415,0.016758,5.504884
0.142270,0.007698,4.784486
0.124722,0.017559,5.122297
0.101525,0.012964,3.283775
0.086142,0.013706,3.545175
0.078433,0.011028,4.154031
0.120769,0.006661,5.972059
0.080498,0.012040,2.963304
0.135038,0.012308,4.148619
0.124968,0.014732,4.627017
0.165629,0.010048,5.869497
0.123727,0.015032,5.633346
0.090515,0.011559,3.243650
0.132709,0.010102,3.344270
0.119714,0.013304,4.436844
0.098466,0.006429,5.645855
0.101773,0.009983,1.119125
0.104885,0.017732,5.215344
0.112375,0.009189,1.802727
0.099456,0.017699,5.281023
0.127555,0.011714,4.190844
0.129979,0.016402,4.983577
0.125264,0.007418,5.090786
0.107637,0.012820,2.953899
0.131852,0.008190,3.581507
0.118235,0.008078,2.398686
0.098931,0.009204,1.128092
0.154808,0.012319,5.275640
0.124477,0.006962,4.877458
0.106708,0.011982,2.523553
0.128199,0.007269,4.613265
0.133760,0.013642,5.956963
0.103175,0.011177,2.770153
0.130915,0.014146,5.245021
0.111114,0.009977,1.453498
0.105827,0.015617,4.226002
0.097826,0.010331,0.868601
0.107145,0.019585,5.939452
0.105496,0.015537,3.886319
0.091847,0.010412,1.797523
0.111060,0.011636,1.672942
0.111496,0.012649,2.910079
0.141652,0.008502,2.612118
0.117814,0.007507,4.382492
0.112391,0.011957,3.403787
0.097284,0.011391,1.762836
0.077956,0.008706,5.354212
0.146170,0.007445,5.237186
0.114033,0.014640,3.628526
0.131233,0.011732,3.731771
0.084563,0.012241,3.084453
0.105717,0.011275,1.579064
0.087015,0.011680,2.605289
0.134789,0.012044,4.833348
0.093560,0.015815,5.266509
0.104317,0.015290,3.844196
0.113225,0.012594,3.550489
0.118749,0.006475,5.520949
0.093518,0.017342,5.611692
0.137178,0.011457,4.724217
0.112936,0.013244,4.340785
0.107401,0.011357,1.462160
0.086546,0.014039,4.122088
0.119188,0.013737,2.337761
0.123001,0.014605,5.913960
0.098370,0.016155,4.485272
0.089938,0.012229,3.669295
0.077406,0.013543,5.045405
0.093792,0.011433,2.385417
0.145326,0.010097,4.801592
0.080578,0.010466,4.147668
0.098441,0.019095,5.256176
0.091272,0.009906,2.547386
0.087958,0.014748,4.601953
0.130673,0.007431,4.166275
0.096823,0.015743,4.947376
0.102696,0.012517,2.652597
0.142585,0.012960,4.978148
0.096518,0.013435,3.891156
0.096982,0.015017,3.762133
0.102678,0.007689,3.339546
0.090955,0.017296,5.305377
0.120848,0.010879,2.866733
0.113548,0.016356,4.411284
0.122690,0.017182,5.338833
0.102871,0.018735,5.590585
0.111576,0.011435,1.475545
0.106301,0.011532,1.717495
0.114689,0.009952,0.902729
0.117186,0.011445,2.131200
0.113582,0.017742,5.411395
0.143876,0.010261,4.134296
0.080213,0.007970,5.915627
0.079942,0.016125,5.227100
0.106878,0.020316,5.736049
0.120863,0.016648,5.949044
0.113843,0.014075,3.763746
0.102463,0.012382,2.413680
0.147000,0.009374,4.660234
0.089329,0.007198,4.922117
0.112937,0.014195,4.012936
0.125199,0.007997,3.276466
0.108254,0.015193,3.522452
0.114217,0.019660,5.528561
0.113935,0.007477,3.509855
0.101897,0.008820,1.804779
0.088669,0.009244,2.976051
0.118771,0.011354,3.677281
0.122284,0.006956,5.356326
0.104657,0.011145,1.162438
0.100050,0.006739,5.623926
0.094731,0.013948,3.928948
0.144381,0.007784,4.578655
0.080364,0.010108,4.948757
0.105428,0.009034,1.163827
0.089972,0.012824,3.859178
0.111985,0.016243,4.326630
0.089490,0.017125,4.708857
0.140162,0.010137,5.240890
0.103479,0.014682,3.527272
0.098671,0.018583,5.844475
0.089546,0.012305,2.317144
0.098472,0.016497,4.844121
0.138138,0.010630,4.119962
0.094030,0.006838,5.289427
0.114682,0.006818,4.545162
0.121391,0.008648,2.529552
0.103793,0.007859,2.979527
0.097272,0.007358,4.832746
0.112518,0.013414,4.054297
0.107476,0.018246,5.279611
0.095058,0.009396,1.952108
0.113167,0.012809,2.081750
0.100638,0.019311,5.752927
0.097988,0.019162,5.875593
0.078721,0.013106,4.727835
0.087615,0.014521,4.242872
0.101675,0.018035,5.716657
0.110802,0.008904,1.912849
0.090366,0.015307,5.534131
0.113082,0.011955,1.933797
0.133861,0.007929,3.593005
0.078819,0.013942,3.497284
0.107828,0.011362,1.888234
0.142607,0.013282,4.849062
0.115519,0.017809,5.639986
0.092610,0.012274,2.882867
0.122478,0.014914,4.977267
0.118988,0.019214,5.709924
0.109363,0.017917,5.260466
0.144708,0.008109,4.543009
0.132456,0.008928,3.302592
0.101649,0.009010,1.859557
0.110765,0.007958,2.644206
0.102931,0.016447,4.442696
0.099633,0.007863,4.696101
0.117969,0.011958,2.564117
0.106368,0.014394,3.702867
0.115210,0.012126,4.351168
0.095467,0.010777,3.687519
0.125173,0.010842,2.842418
0.116284,0.010410,1.127884
0.134430,0.008936,3.447753
0.133703,0.009972,2.574762
0.087504,0.009770,3.693401
0.107260,0.012085,2.255772
0.097410,0.010254,1.552858
0.116183,0.014570,4.407235
0.108990,0.013629,3.356324
0.087791,0.017979,5.698064
0.108878,0.014717,3.542462
0.095847,0.011248,4.034313
0.119490,0.008937,2.239070
0.112090,0.020117,5.905963
0.094187,0.018393,5.833807
0.127621,0.011482,2.195339
0.079267,0.014551,4.703290
0.102877,0.016877,4.914160
0.092107,0.009411,1.139611
0.146786,0.008395,4.622682
0.135216,0.010267,3.406247
0.128748,0.010016,2.595339
0.113539,0.017460,5.339482
0.154265,0.009429,5.593744
0.096476,0.018134,5.570781
0.088453,0.008291,3.051544
0.117975,0.011800,4.055726
0.077213,0.011187,4.419216
0.094729,0.013569,3.874243
0.092442,0.010331,1.075287
0.123500,0.016535,5.303231
0.070600,0.010382,4.708126
0.143565,0.013530,4.096129
0.109622,0.006225,5.683534
0.116832,0.013334,3.222454
0.114784,0.006759,4.621142
0.110608,0.010748,1.698538
0.105662,0.013869,3.385179
0.097608,0.009980,1.187865
0.100382,0.015630,4.200871
0.098954,0.010422,1.061619
0.099299,0.013371,2.717107
0.109526,0.010512,1.268882
0.111096,0.016205,5.072026
0.088511,0.010981,3.103860
0.132388,0.011759,4.732469
0.107589,0.015290,4.040510
0.093838,0.009719,2.381354
0.114812,0.020205,5.653288
0.112055,0.018435,5.366616
0.128405,0.007122,4.227693
0.106425,0.012086,1.976236
0.119260,0.008568,3.919677
0.093166,0.018876,5.508920
0.097710,0.012342,2.671283
0.155583,0.010055,5.554654
0.137510,0.014867,5.615872
0.115098,0.011971,3.447372
0.093196,0.011769,2.351379
0.124193,0.015641,4.186882
0.092124,0.014164,4.165326
0.098604,0.008166,2.338573
0.113417,0.013149,2.515876
0.087088,0.010954,3.090881
0.111703,0.019695,5.792070
0.132616,0.010275,3.914245
0.077135,0.015316,5.042162
0.130594,0.010698,3.656688
0.114221,0.015636,5.774755
0.101294,0.010940,1.487257
0.089923,0.009372,5.928583
0.070374,0.010540,4.686133
0.110563,0.017216,5.480058
0.111316,0.017612,5.227014
0.116179,0.011279,3.056800
0.114207,0.008244,1.987267
0.131835,0.015098,4.989272
0.104708,0.015653,3.950369
0.098933,0.009973,1.211325
0.111486,0.017991,5.302019
0.104772,0.018896,5.676894
0.118007,0.016102,4.773975
0.119363,0.017837,4.840820
0.130945,0.007644,4.308188
0.117533,0.011935,3.026615
0.097948,0.013321,2.529858
0.106243,0.020301,5.852807
0.104531,0.008393,1.833494
0.110937,0.012919,3.225219
0.101146,0.013946,3.715750
0.107653,0.017300,4.928053
0.079743,0.008417,4.536271
0.089641,0.018615,5.812036
0.123627,0.014432,5.098617
0.118073,0.016853,4.557550
0.137199,0.013209,5.319152
0.094270,0.016389,4.546200
0.144067,0.012261,4.650517
0.118251,0.018692,5.099206
0.122110,0.010793,3.750808
0.131784,0.018616,5.517889
0.120435,0.014693,5.612320
0.096339,0.011521,2.501350
0.099294,0.016682,4.778724
0.104847,0.017519,4.918068
0.115317,0.013823,3.501939
0.092970,0.010351,2.860499
0.097417,0.013146,3.234381
0.097260,0.016447,4.732164
0.119317,0.013727,3.654162
0.106765,0.010751,1.332784
0.115670,0.012309,2.528857
0.122433,0.015036,4.678767
0.119023,0.015858,5.815649
0.114443,0.013212,3.143117
0.121698,0.009323,1.068301
0.123872,0.012449,5.291883
0.122950,0.012984,4.079886
0.094048,0.011061,1.772375
0.119262,0.007938,2.888945
0.108793,0.014139,4.550794
0.125618,0.012297,3.301860
0.172267,0.008456,5.744991
0.080013,0.013275,4.713544
0.097486,0.005893,5.869875
0.137087,0.008065,3.951095
0.094317,0.018843,5.720499
0.121119,0.010512,2.799120
0.079316,0.014382,4.580625
0.094623,0.009713,3.305537
0.117056,0.012893,3.917024
0.107443,0.017850,5.000096
0.098925,0.009050,2.153413
0.115840,0.013426,3.373987
0.138218,0.014190,5.280394
0.115506,0.008696,2.250805
0.098875,0.013770,3.202216
0.099188,0.013950,3.666820
0.086779,0.014513,5.002357
0.085608,0.013397,4.137106
0.108308,0.019906,5.411748
0.113633,0.006176,5.709144
0.107118,0.010273,1.848397
0.107788,0.016257,4.325212
0.112526,0.017199,5.077046
0.098780,0.013416,2.616617
0.089557,0.014369,4.529326
0.099706,0.017438,5.134684
0.099609,0.006177,5.958137
0.145322,0.009504,3.434993
0.124044,0.011115,4.296160
0.131853,0.008056,3.867860
0.098044,0.019426,5.686725
0.110136,0.012078,1.980121
0.094300,0.017693,5.158062
0.102078,0.009495,0.906014
0.113241,0.013934,4.657650
0.108559,0.013994,3.909977
0.135938,0.008209,3.826588
0.117573,0.016502,5.231002
0.109578,0.019251,5.594341
0.102582,0.019350,5.929760
0.111707,0.007668,2.899265
0.118794,0.019920,5.804362
0.116093,0.007206,4.319643
0.091386,0.010443,2.497022
0.118115,0.016744,5.049721
0.111311,0.018861,5.469785
0.098106,0.012413,2.066818
0.097076,0.013900,3.176064
0.101829,0.014152,3.344665
0.148437,0.008817,4.333899
0.118165,0.012058,3.512171
0.098910,0.017129,5.291256
0.117922,0.014490,4.912790
0.093393,0.008135,3.937129
0.114663,0.018737,5.535652
0.101614,0.014383,3.975554
0.110234,0.018118,5.179838
0.112165,0.017316,5.006619
0.105869,0.015663,4.062791
0.107640,0.008034,4.519216
0.106959,0.010430,2.678740
0.100733,0.017329,5.679606
0.100368,0.006495,5.033332
0.115155,0.016210,4.952200
0.122146,0.011138,2.926421
0.087454,0.013831,3.623336
0.128253,0.010963,5.409085
0.075373,0.012652,4.840807
0.105650,0.007232,3.910856
0.104774,0.018926,5.938276
0.092021,0.019111,5.938138
0.103238,0.015180,4.163828
0.102116,0.016925,4.934329
0.142291,0.008101,4.031858
0.118022,0.010458,0.670582
0.100584,0.008244,2.335563
0.108221,0.010575,1.691092
0.107302,0.015804,4.271902
0.136727,0.012892,5.282652
0.107556,0.012438,2.941124
0.102822,0.008575,3.906380
0.108847,0.015643,4.586815
0.082568,0.012370,4.438009
0.115890,0.017819,5.379825
0.129087,0.020834,5.719248
0.106268,0.016091,4.234579
0.088006,0.012705,3.680771
0.077150,0.010031,5.446198
0.115360,0.015190,4.177716
0.119236,0.010655,1.659588
0.105835,0.016384,5.020422
0.087984,0.013056,2.746907
0.118695,0.012139,3.014274
0.106751,0.009212,2.551865
0.090033,0.008349,4.625445
0.122704,0.013555,4.394342
0.124110,0.013096,2.763604
0.097091,0.014057,4.192778
0.096146,0.018135,5.255914
0.146616,0.009613,5.673976
0.093617,0.012812,2.605181
0.113852,0.012196,3.310493
0.084318,0.016145,4.563650
0.088654,0.016809,5.476517
0.091628,0.018056,5.681223
0.129787,0.011216,3.300768
0.115342,0.017703,4.932272
0.113499,0.006019,5.247778
0.090499,0.013042,4.208324
0.074576,0.008080,5.409091
0.127853,0.014541,4.814756
0.114170,0.015868,4.878126
0.097713,0.015433,4.311759
0.094435,0.010418,1.882508
0.092365,0.015661,4.021152
0.105613,0.017587,5.045830
0.117031,0.017154,5.068242
0.119389,0.014621,3.629793
0.102129,0.008787,1.163863
0.089644,0.015725,4.811931
0.105737,0.013323,3.108290
0.117257,0.016860,5.507333
