beta,gamma,epsilon
0.128661,0.010662,3.042824
0.087550,0.014821,4.949750
0.107315,0.025734,6.890900
0.175802,0.009526,6.488916
0.167584,0.008270,6.531665
0.120007,0.017577,5.801558
0.119180,0.026904,7.785141
0.145278,0.009343,2.492573
0.106239,0.007170,4.308160
0.116312,0.013633,3.602819
0.098983,0.011339,1.341330
0.169076,0.010523,7.268050
0.080079,0.010584,3.900281
0.104566,0.016435,5.284610
0.078188,0.022535,7.472024
0.131586,0.015765,5.368747
0.119088,0.012941,4.301594
0.104695,0.025344,7.469429
0.113278,0.007076,3.483101
0.091376,0.024880,7.688748
0.094540,0.024880,7.589664
0.140355,0.011395,4.834201
0.091607,0.020399,6.547543
0.161025,0.012461,5.951853
0.083647,0.025345,7.733802
0.094916,0.010793,3.419972
0.107321,0.025620,7.405598
0.086922,0.006816,4.556183
0.121144,0.014965,5.472399
0.108810,0.028315,7.602890
0.083187,0.019454,7.678813
0.090225,0.019501,6.417235
0.093809,0.024145,7.196254
0.082442,0.017421,5.719790
0.077030,0.011743,6.091140
0.085996,0.024918,7.766082
0.076518,0.017474,6.587944
0.133464,0.023326,6.896163
0.143908,0.014682,6.497348
0.086446,0.013201,3.667850
0.091984,0.019183,6.104490
0.132417,0.020829,7.159432
0.105077,0.007814,3.110088
0.128894,0.019936,7.395299
0.153427,0.017554,6.434692
0.110986,0.016076,4.497232
0.123305,0.014933,4.133951
0.115758,0.017911,5.011194
0.128329,0.014190,4.619884
0.118393,0.007152,3.983268
0.094480,0.013750,3.972562
0.078375,0.017342,6.117459
0.105711,0.019774,6.278110
0.085983,0.020734,6.657960
0.119089,0.026394,7.615706
0.121105,0.017500,6.089131
0.119634,0.016867,4.775161
0.131890,0.007736,4.010193
0.079587,0.013595,5.397965
0.118477,0.009087,1.883107
0.111087,0.029056,7.728365
0.112269,0.011903,2.249234
0.120759,0.025467,7.298392
0.148679,0.012809,6.381400
0.110128,0.026897,7.524980
0.158062,0.013817,7.779687
0.114316,0.005833,6.084300
0.170634,0.009193,6.719795
0.133932,0.016906,7.170465
0.104881,0.007723,2.878510
0.084110,0.022881,7.306968
0.106217,0.025181,7.152630
0.087020,0.007493,7.420190
0.098365,0.012064,2.721768
0.117719,0.014505,4.010625
0.135473,0.014697,6.969175
0.122974,0.018168,5.269042
0.100011,0.020517,7.140027
0.101852,0.009571,1.052525
0.100495,0.023112,6.942110
0.078228,0.013028,5.687396
0.107325,0.022353,6.837444
0.119334,0.025489,7.351558
0.082145,0.012022,3.771758
0.142789,0.018584,7.242772
0.184854,0.006461,7.819181
0.077846,0.015314,5.022410
0.114152,0.016403,5.692143
0.077033,0.014969,4.624967
0.154250,0.008262,6.208391
0.115561,0.012948,3.816710
0.127522,0.016672,5.449209
0.110681,0.025395,7.137110
0.083710,0.009242,4.089802
0.077863,0.015380,5.719486
0.111428,0.020975,6.145338
0.098109,0.012167,2.134861
0.113440,0.015763,4.270403
0.104771,0.019107,5.529365
0.097709,0.025591,7.575260
0.137308,0.016633,5.845258
0.132279,0.018527,6.209859
0.110076,0.012631,2.807106
0.100350,0.013120,2.774840
0.082004,0.023726,7.735937
0.124296,0.022947,7.198939
0.124824,0.008547,2.880424
0.098834,0.023096,6.672770
0.139387,0.014042,7.591182
0.110277,0.008761,2.256455
0.086029,0.020261,7.195942
0.084332,0.014584,4.864615
0.189591,0.009149,6.193326
0.080278,0.015685,6.757590
0.094062,0.011779,2.246420
0.124652,0.015814,5.718234
0.090162,0.010989,3.716156
0.112757,0.009968,1.001558
0.100912,0.012173,2.103871
0.084057,0.006340,6.445863
0.126713,0.015904,6.592644
0.129268,0.006596,5.074918
0.104534,0.014382,3.761630
0.140915,0.006792,6.186872
0.109657,0.009459,1.965166
0.120922,0.023061,6.793031
0.112333,0.021038,5.987821
0.097050,0.026040,7.598289
0.096595,0.015735,4.231632
0.134125,0.012585,6.409651
0.103879,0.018640,5.498741
0.107084,0.007774,2.356250
0.098949,0.014189,3.549750
0.083840,0.014829,4.549047
0.089027,0.010199,1.841917
0.124362,0.023015,7.316114
0.122270,0.015610,5.495218
0.083943,0.017693,6.574737
0.080779,0.012565,5.647259
0.116082,0.030272,7.841689
0.113253,0.009020,2.570125
0.147968,0.015936,6.386569
0.129019,0.019841,7.342416
0.081029,0.015315,4.520013
0.103705,0.009445,1.050298
0.100808,0.019851,5.910449
0.132075,0.012529,5.674416
0.098164,0.015164,3.823720
0.113932,0.021724,6.778241
0.083106,0.016970,5.221306
0.130164,0.016502,6.611771
0.109289,0.005746,7.096530
0.093503,0.006358,6.348244
0.135108,0.006117,6.269257
0.102728,0.013719,3.310656
0.102742,0.012350,2.493922
0.108422,0.021892,6.647150
0.111606,0.020044,5.884741
0.140900,0.009880,4.600724
0.088331,0.007138,5.574966
0.107854,0.017896,4.963254
0.096350,0.011324,2.809685
0.125853,0.023336,6.999269
0.131728,0.012530,4.765309
0.112610,0.019804,5.936844
0.129489,0.006082,6.520329
0.087410,0.006945,5.981859
0.089367,0.007085,5.706439
0.156253,0.008737,6.076836
0.106450,0.012017,1.993423
0.107062,0.025763,7.455914
0.167841,0.008421,5.904242
0.092408,0.019340,6.038585
0.127861,0.017152,5.241103
0.121057,0.010113,1.891634
0.114803,0.019549,5.266653
0.145004,0.016326,7.717003
0.126724,0.019545,6.088757
0.102630,0.020397,6.459687
0.127677,0.019454,7.243371
0.132098,0.010326,4.090373
0.061844,0.009806,7.154658
0.158289,0.012092,6.603877
0.100370,0.016690,4.596389
0.126894,0.014260,3.842492
0.086030,0.023024,7.433574
0.133142,0.008078,3.982504
0.085140,0.021395,6.457753
0.146285,0.012313,5.050172
0.119327,0.019460,6.597576
0.082569,0.019364,6.556661
0.156294,0.012542,6.970277
0.110580,0.018639,5.290142
0.110718,0.019054,5.822959
0.104661,0.010223,1.412694
0.120477,0.011616,2.480539
0.104878,0.022851,7.183888
0.086569,0.013344,4.172047
0.085249,0.021597,6.931193
0.076003,0.011810,6.120952
0.088206,0.007471,5.167944
0.085782,0.007216,6.177866
0.088474,0.005844,6.128933
0.127507,0.014807,4.932400
0.087608,0.024625,7.266641
0.136457,0.016253,5.661058
0.134658,0.024643,7.637084
0.094287,0.018963,5.434887
0.106455,0.007059,4.400632
0.128462,0.023781,7.294460
0.166075,0.008333,5.487752
0.127748,0.010445,2.731597
0.160198,0.010019,5.654614
0.107785,0.018723,5.246688
0.127358,0.019216,7.050213
0.087280,0.006851,5.326994
0.137164,0.012515,6.344206
0.102133,0.022071,7.328448
0.102522,0.021345,6.251527
0.094516,0.009347,3.295055
0.109986,0.005768,6.855803
0.119911,0.007847,2.969940
0.136608,0.019373,6.644638
0.103743,0.020937,6.924059
0.085805,0.010379,4.375046
0.121941,0.020745,7.110518
0.126893,0.017325,5.296637
0.094899,0.017743,6.575069
0.111143,0.019722,6.084765
0.147246,0.026869,7.727815
0.110674,0.028113,7.626327
0.129973,0.015104,5.151195
0.086961,0.016899,5.473256
0.115204,0.008837,2.024766
0.106004,0.018115,4.732989
0.100621,0.024653,7.241527
0.110075,0.015202,4.508224
0.133954,0.017189,6.958320
0.117285,0.017408,6.074370
0.087996,0.016450,5.669427
0.096481,0.019887,6.045705
0.109577,0.016109,3.871031
0.122897,0.027392,7.721737
0.105083,0.011076,1.497715
0.132695,0.006323,6.151496
0.104771,0.025395,7.355006
0.100880,0.005775,6.758580
0.111562,0.008809,2.025637
0.166733,0.011759,6.835581
0.116261,0.011377,3.021287
0.135344,0.006908,5.878107
0.091567,0.018257,5.577966
0.127716,0.021087,5.987533
0.113982,0.019249,5.831695
0.130546,0.011085,4.433917
0.105578,0.015105,4.200613
0.097092,0.017792,6.366152
0.084932,0.018711,7.668633
0.101812,0.006155,6.178150
0.092476,0.024109,7.451471
0.132159,0.013865,5.421423
0.143040,0.017534,6.899866
0.066388,0.018433,6.830953
0.091965,0.013677,4.587679
0.086418,0.023023,7.184059
0.097949,0.022819,6.978997
0.174782,0.006694,7.154792
0.176329,0.014679,7.385746
0.108878,0.013447,3.893327
0.106820,0.016171,4.175396
0.101009,0.026126,7.574391
0.102511,0.009288,1.077212
0.112561,0.018822,5.635915
0.091421,0.019356,6.540408
0.131026,0.015567,5.089302
0.119281,0.028063,7.656225
0.137639,0.011998,4.504901
0.106803,0.013266,3.204936
0.091030,0.005867,7.014081
0.083379,0.010676,3.136414
0.110729,0.018488,5.090986
0.137272,0.011613,4.992661
0.111977,0.019415,5.462079
0.096003,0.026522,7.677443
0.152157,0.007219,5.747808
0.141397,0.011946,4.925105
0.136545,0.006692,5.454993
0.116234,0.017614,6.182179
0.089537,0.021066,7.148485
0.099242,0.012607,2.580502
0.121805,0.017730,6.616846
0.091653,0.024573,7.357984
0.144429,0.013362,5.006037
0.100473,0.005353,7.086842
0.109655,0.012018,1.983855
0.110946,0.018089,5.745828
0.097336,0.010413,0.697189
0.089812,0.017801,5.625394
0.150756,0.014768,7.189666
0.136251,0.007090,6.077004
0.108550,0.016807,4.325763
0.082231,0.008065,6.157669
0.087901,0.025860,7.717758
0.085787,0.014054,4.168770
0.119577,0.022156,7.180367
0.120114,0.013885,4.086420
0.106516,0.013772,3.623066
0.178417,0.012097,7.837117
0.140986,0.016512,7.010657
0.097181,0.016521,5.033832
0.130039,0.019345,7.691718
0.090893,0.015648,4.446611
0.079087,0.015793,5.983265
0.124910,0.027338,7.445789
0.121813,0.015159,4.890939
0.080945,0.011313,4.915904
0.101757,0.027201,7.591661
0.121433,0.007775,4.124530
0.093006,0.018541,6.306522
0.101505,0.022762,7.253638
0.129511,0.005452,7.088858
0.135722,0.009327,3.508567
0.137502,0.012302,5.551162
0.153845,0.010303,4.699408
0.097489,0.011012,2.149470
0.073267,0.011928,5.185823
0.116228,0.013778,3.536587
0.112182,0.011515,2.463263
0.118922,0.021635,6.272235
0.119028,0.019277,5.741478
0.089987,0.018197,5.560853
0.090794,0.025055,7.512995
0.074933,0.008304,7.315297
0.112029,0.023198,7.276365
0.092730,0.022960,7.314566
0.134183,0.009847,4.379616
0.095701,0.017133,4.636419
0.109177,0.020673,6.026888
0.094242,0.021380,6.319769
0.081987,0.019134,6.252181
0.074849,0.017481,6.325706
0.162106,0.012494,7.079477
0.084639,0.010364,3.376429
0.104209,0.024412,7.247691
0.151745,0.006079,7.666598
0.113146,0.021116,6.315347
0.095559,0.018001,5.732207
0.113639,0.012575,2.462714
0.111600,0.013406,3.154435
0.108415,0.015662,4.367835
0.109799,0.008147,2.362614
0.146940,0.011860,5.166016
0.085309,0.008635,4.455946
0.114993,0.018137,5.125256
0.103237,0.019556,5.998071
0.165101,0.011023,6.654068
0.132439,0.026207,7.665591
0.095226,0.008557,4.583676
0.098667,0.005803,5.253898
0.099328,0.005189,7.555418
0.139749,0.014137,5.837044
0.120931,0.013027,3.750836
0.089510,0.009499,4.718013
0.117215,0.006299,6.459021
0.103891,0.016345,4.632061
0.097513,0.007598,4.491076
0.142639,0.012232,5.088484
0.117086,0.020202,6.873042
0.073930,0.009520,4.652981
0.100553,0.005724,6.608535
0.083133,0.022439,7.309024
0.088831,0.017508,5.910296
0.128676,0.008186,3.495147
0.102114,0.006359,5.498786
0.115273,0.025699,7.646511
0.109211,0.015397,3.939799
0.121232,0.020548,5.974807
0.128405,0.019133,7.503429
0.163252,0.013646,7.470954
0.098694,0.018380,5.228178
0.141304,0.016027,6.573281
0.132606,0.008228,2.509195
0.141722,0.018117,7.719223
0.116545,0.022562,6.274086
0.081795,0.011254,5.281702
0.113074,0.014492,3.888275
0.110611,0.010948,1.458781
0.112104,0.018755,5.314765
0.124225,0.008982,2.494648
0.145345,0.017319,5.800034
0.109007,0.019123,5.587559
0.148558,0.008049,5.296319
0.073298,0.011591,6.845547
0.136392,0.012739,4.694581
0.129764,0.009532,2.570179
0.082786,0.021466,6.891098
0.114495,0.022528,6.332353
0.130202,0.021117,6.574016
0.104198,0.012286,2.071905
0.089092,0.014719,4.417443
0.071770,0.009088,6.719225
0.116514,0.007022,4.437375
0.115840,0.008248,1.939012
0.151081,0.011967,5.596366
0.129306,0.018464,7.500952
0.123713,0.015297,5.418820
0.115012,0.015176,5.192655
0.113273,0.013028,2.466550
0.088913,0.012619,3.504662
0.112551,0.021714,6.082318
0.117686,0.015068,3.864006
0.098096,0.016769,7.113284
0.092150,0.020515,6.538538
0.098342,0.010651,1.157640
0.121928,0.023196,6.624000
0.118365,0.017854,4.736296
0.133297,0.013809,3.646852
0.139395,0.007818,3.937364
0.087630,0.011094,3.282261
0.108427,0.011345,1.849328
0.106496,0.015503,4.425914
0.120621,0.025531,7.374235
0.121066,0.008257,3.207738
0.114635,0.025041,7.362749
0.129592,0.007322,3.171346
0.089081,0.016067,4.981391
0.153801,0.015680,6.992868
0.077572,0.019499,7.174832
0.078985,0.009568,6.860839
0.128818,0.014369,5.388528
0.123561,0.011821,3.321906
0.094230,0.019250,7.032171
0.088667,0.017538,5.153056
0.105546,0.008779,2.827808
0.088649,0.017576,5.481363
0.136609,0.013250,5.702667
0.095298,0.009387,2.958183
0.115828,0.023297,7.057899
0.129152,0.009316,2.518141
0.080768,0.015585,6.172661
0.088656,0.012718,3.290593
0.091456,0.018797,6.214935
0.116087,0.010783,1.917988
0.158253,0.013062,7.096593
0.117133,0.006523,4.642727
0.071935,0.010856,5.871158
0.113300,0.023251,6.938894
0.107720,0.010720,2.248784
0.121494,0.023754,7.066612
0.110534,0.019593,6.115505
0.083546,0.016227,4.513070
0.111089,0.007436,3.311471
0.131387,0.021881,6.888345
0.095156,0.016579,4.441348
0.110125,0.017701,5.115158
0.109780,0.011292,1.821277
0.173293,0.008104,7.010557
0.144061,0.016038,7.467815
0.088147,0.014409,4.994934
0.102090,0.012687,2.505841
0.079044,0.016431,6.199188
0.110599,0.020128,5.725199
0.110626,0.009949,0.905594
0.084156,0.015577,5.843383
0.122239,0.006735,5.333615
0.111969,0.012938,2.898062
0.112195,0.006560,6.043633
0.147209,0.015138,6.695445
0.125234,0.025123,7.532266
0.110218,0.022068,6.834363
0.113062,0.013094,3.683834
0.093607,0.010903,2.956982
0.105410,0.006778,4.901027
0.080101,0.010283,5.631474
0.096324,0.006334,5.737747
0.142597,0.021389,6.936012
0.078132,0.017724,7.226859
0.136996,0.016529,6.332196
0.071221,0.014636,7.011593
0.081664,0.020801,7.232400
0.105912,0.022174,6.560180
0.119388,0.009791,1.758835
0.108917,0.023776,7.162297
0.115328,0.017325,5.215537
0.115390,0.010700,1.921594
0.120122,0.012428,2.461209
0.094325,0.009138,1.787887
0.101969,0.015191,4.005875
0.147825,0.008033,5.045447
0.123699,0.011834,4.165637
0.099419,0.009344,1.362533
0.127772,0.022409,7.158209
0.110083,0.014369,4.005456
0.075959,0.021678,7.590679
0.082029,0.011300,3.052849
0.122304,0.021128,6.062729
0.080771,0.020498,7.813999
0.140316,0.012801,4.810851
0.121461,0.018858,6.477561
0.137069,0.010608,4.277035
0.112056,0.026409,7.655704
0.097005,0.020302,5.750747
0.153610,0.013346,7.695920
0.136934,0.014987,6.139802
0.122407,0.026488,7.673254
0.119408,0.021337,6.504225
0.096988,0.020087,6.062149
0.061473,0.015788,7.818838
0.106651,0.021104,6.344594
0.143546,0.016151,7.301667
0.142693,0.011626,6.396677
0.084095,0.010695,2.935225
0.089155,0.013138,3.397330
0.124238,0.020814,7.336187
0.109651,0.014625,4.302907
0.094185,0.007585,4.968225
0.120899,0.023336,6.764411
0.125962,0.010528,1.908302
0.130880,0.025839,7.777155
0.091566,0.015024,3.930837
0.086380,0.018253,6.762353
0.104403,0.019907,6.119105
0.137441,0.015043,4.957684
0.097100,0.009552,1.214544
0.142654,0.013632,4.982194
0.132215,0.006075,6.294192
0.117949,0.009973,2.890013
0.080990,0.019499,7.428163
0.085852,0.007963,5.041299
0.142826,0.024013,7.196614
0.108276,0.011391,2.810485
0.100629,0.013185,2.622766
0.109819,0.008000,2.766761
0.124504,0.012266,3.097081
0.077910,0.011055,4.756946
0.088854,0.013690,3.942241
0.119881,0.009341,1.021652
0.117186,0.020846,6.100985
0.105405,0.012126,2.537134
0.131598,0.011464,3.438247
0.145613,0.005535,7.525920
0.093915,0.006020,6.202667
0.087004,0.013922,3.191737
0.100957,0.005082,7.837943
0.096801,0.015951,4.186337
0.095761,0.019645,5.470481
0.146719,0.018492,7.433058
0.090730,0.020780,6.250528
0.109764,0.018923,5.714212
0.126470,0.012581,2.547597
0.088638,0.011383,3.962320
0.163989,0.008291,6.431799
0.110641,0.013584,2.541660
0.141517,0.007377,4.991422
0.157033,0.013224,7.692678
0.070948,0.011272,5.177498
0.087467,0.020324,6.538578
0.123922,0.008184,2.266648
0.116074,0.013937,5.102219
0.097113,0.025481,7.206888
0.108301,0.028960,7.758842
0.121059,0.007870,3.100171
0.153676,0.013827,5.849586
0.095534,0.012151,2.403054
0.111158,0.025890,7.279408
0.093510,0.012909,3.695554
0.114201,0.011547,1.388736
0.121399,0.017040,5.269835
0.128511,0.015570,5.053844
0.109515,0.020088,5.813230
0.097290,0.021511,6.684327
0.129553,0.022501,6.722206
0.102044,0.010091,0.741030
0.110671,0.013032,2.472132
0.119785,0.006124,5.863533
0.115192,0.008092,3.490328
0.097982,0.006426,5.173726
0.130840,0.017424,6.599470
0.107540,0.022099,6.877146
0.107010,0.009100,1.225357
0.177015,0.011516,5.995058
0.143399,0.018418,7.094676
0.116737,0.015463,5.208646
0.080835,0.019810,7.072137
0.134888,0.009580,3.762202
0.114982,0.015214,3.941950
0.104606,0.019933,6.321507
0.097126,0.013008,3.072407
0.114386,0.009195,1.285442
0.058527,0.011295,7.284093
0.109281,0.025049,7.269514
0.120077,0.011220,3.016248
0.085650,0.009907,4.851950
0.152506,0.015214,7.813355
0.120087,0.014715,3.969134
0.085356,0.011976,3.258862
0.121435,0.027343,7.638280
0.119903,0.022827,6.851138
0.138484,0.011521,5.613363
0.097175,0.020541,5.943552
0.078447,0.009413,6.436946
0.103740,0.014253,3.605350
0.146212,0.014801,6.698012
0.099322,0.018244,5.458132
0.089337,0.022523,6.820975
0.072429,0.014418,5.700450
0.080424,0.020074,7.228738
0.168520,0.013164,7.327615
0.104167,0.023433,6.849467
0.090592,0.007693,5.283943
0.117479,0.007732,4.121717
0.108961,0.009537,1.826275
0.130882,0.025066,7.695135
0.123001,0.023187,6.917687
0.130940,0.026100,7.254432
0.103521,0.005913,6.530418
0.088920,0.019177,6.138702
0.122885,0.024810,7.082763
0.118079,0.020309,6.246413
0.102373,0.009011,1.225939
0.157771,0.008482,4.712837
0.102246,0.009379,2.279086
0.091218,0.015873,4.739056
0.098723,0.016736,4.734401
0.113616,0.021876,6.426578
0.145750,0.009471,4.459504
0.078988,0.016567,6.064380
0.123054,0.025397,7.578519
0.070732,0.010103,6.237250
0.158317,0.011486,5.701781
0.121840,0.022047,6.727496
0.098105,0.023357,7.259850
0.105486,0.021578,6.339510
0.094231,0.015258,5.145623
0.078730,0.021292,6.973177
0.103222,0.022202,6.502355
0.140653,0.013887,6.569489
0.128753,0.009925,3.348844
0.098772,0.027182,7.705539
0.138359,0.008579,4.874839
0.122223,0.016780,4.755858
0.104479,0.019231,6.125047
0.072007,0.009015,6.676754
0.075691,0.014903,6.577926
0.122685,0.028144,7.829043
0.134688,0.018211,7.235009
0.110212,0.025716,7.514630
0.115834,0.013317,3.638056
0.093204,0.019043,6.356528
0.080596,0.013464,5.114016
0.089289,0.021841,7.337228
0.088786,0.009203,4.260814
0.114742,0.008205,2.320118
0.093057,0.007808,3.209256
0.112705,0.014707,4.312939
0.100559,0.023913,7.195104
0.115465,0.018856,4.952003
0.130798,0.014356,6.375458
0.145338,0.005735,7.823139
0.123221,0.014238,4.539118
0.085051,0.014998,5.643807
0.091409,0.021970,7.259312
0.139585,0.007756,4.546026
0.147731,0.010750,3.870367
0.095752,0.014057,3.081342
0.088246,0.008950,3.583756
0.118155,0.014822,3.582554
0.101744,0.015308,4.669289
0.147776,0.009461,2.698005
0.118576,0.021467,6.300482
0.168045,0.014385,7.430223
0.136672,0.006764,5.124340
0.089283,0.016699,4.752223
0.098589,0.026781,7.745986
0.121098,0.022363,6.404633
0.101886,0.011556,1.934564
0.134698,0.024995,7.714105
0.085534,0.013499,4.575319
0.114035,0.022138,6.435164
0.097582,0.022095,6.649815
0.091565,0.015063,4.878261
0.096203,0.017046,4.940282
0.159288,0.006743,6.631383
0.079387,0.018866,6.823442
0.095322,0.008306,2.931855
0.174267,0.011398,6.978389
0.089204,0.012010,2.447472
0.120797,0.010603,1.718982
0.107685,0.020283,6.181931
0.102952,0.011573,1.351133
0.096689,0.022825,7.262590
0.099465,0.015171,4.482521
0.113122,0.014824,4.276907
0.083651,0.008140,5.734724
0.117457,0.017971,5.361309
0.086964,0.012508,6.997164
0.114593,0.024723,7.220151
0.121919,0.009581,3.735345
0.128727,0.010461,4.417272
0.119926,0.011039,2.897094
0.106473,0.011635,1.787374
0.119886,0.019762,5.761435
0.112261,0.026119,7.667286
0.098190,0.016938,6.738209
0.140707,0.016452,7.168026
0.102985,0.025202,7.126911
0.084764,0.014429,4.873144
0.085065,0.013286,3.495534
0.141510,0.012996,6.555810
0.098143,0.013215,2.518079
0.104258,0.016699,4.734618
0.143330,0.019061,7.326234
