beta,gamma,epsilon
0.110880,0.015726,4.331337
0.115020,0.012501,4.406678
0.106894,0.006891,4.208224
0.095751,0.015858,3.974212
0.114262,0.016060,4.653976
0.098800,0.011802,1.529879
0.100573,0.015128,4.068845
0.099853,0.008302,3.727043
0.099179,0.015625,4.406492
0.119378,0.007846,3.608786
0.087975,0.013885,3.081157
0.117321,0.015339,4.444366
0.081277,0.013951,4.375093
0.097876,0.011707,1.891204
0.113397,0.015348,4.159776
0.112276,0.007312,4.332642
0.121144,0.007678,3.910823
0.118355,0.013342,4.661691
0.098012,0.011780,3.747672
0.132776,0.012665,4.946000
0.107091,0.016495,4.543066
0.095811,0.011228,1.675433
0.093517,0.014261,3.985927
0.132102,0.007343,4.436934
0.095898,0.016544,5.056661
0.118052,0.009446,3.057137
0.098686,0.008179,2.997729
0.109490,0.016736,4.674238
0.092239,0.008895,3.775373
0.107591,0.017565,4.587331
0.132815,0.012036,3.691259
0.107468,0.016885,4.772845
0.093363,0.014288,3.339164
0.107798,0.011361,1.264963
0.099326,0.016475,4.425673
0.074223,0.009750,3.636361
0.099268,0.007273,3.818616
0.100258,0.009461,1.089196
0.154207,0.010778,4.979543
0.105008,0.014418,3.796658
0.122780,0.014544,4.675237
0.115624,0.017329,4.728190
0.084072,0.010743,1.696398
0.102378,0.010288,1.056317
0.092282,0.007220,3.597674
0.117780,0.010759,1.907417
0.113632,0.019119,5.104227
0.096404,0.010228,0.848702
0.101322,0.008572,2.018934
0.093923,0.009655,1.860333
0.128205,0.008771,3.124466
0.121080,0.014082,5.077514
0.115725,0.015617,4.942094
0.146768,0.008064,4.842793
0.097065,0.009211,1.691582
0.129279,0.007876,4.437846
0.109034,0.007378,4.407731
0.080204,0.010350,4.363557
0.114665,0.012543,2.279822
0.116000,0.013262,2.966289
0.128084,0.008983,3.014501
0.104376,0.013074,3.527603
0.088631,0.013946,5.096832
0.115405,0.007975,3.076249
0.112862,0.014697,3.982232
0.127110,0.013606,3.309657
0.109932,0.012129,3.944211
0.088200,0.009864,3.952991
0.106530,0.006623,4.452805
0.105076,0.009911,2.340882
0.140764,0.011973,5.051498
0.122832,0.013313,5.078022
0.102460,0.009453,0.984310
0.086452,0.010152,2.992434
0.091101,0.009117,4.962765
0.117331,0.009023,1.901633
0.110497,0.018082,5.101447
0.076422,0.012657,4.730357
0.131700,0.011492,3.588038
0.098416,0.008727,1.943796
0.088811,0.010197,3.402751
0.130024,0.009261,3.945060
0.110342,0.014905,4.274823
0.113534,0.011565,2.945124
0.095642,0.013914,2.680415
0.122866,0.010344,1.868628
0.118089,0.007622,4.203942
0.118815,0.014818,4.193200
0.116920,0.011181,3.222758
0.094678,0.016150,4.322569
0.134381,0.010362,3.246162
0.104835,0.015986,4.450621
0.103126,0.011162,1.511813
0.114952,0.014325,3.799397
0.095497,0.011643,1.905420
0.100293,0.008348,3.468850
0.082974,0.009977,4.157527
0.086968,0.010567,4.963196
0.133208,0.008086,3.181195
0.104395,0.017875,5.073499
0.107167,0.013621,3.589429
0.128093,0.011989,2.768431
0.132305,0.009772,2.276737
0.110482,0.012993,2.505840
0.108742,0.015176,3.961597
0.092881,0.011912,3.047033
0.104387,0.014647,4.269817
0.122679,0.011564,3.462082
0.103122,0.014210,3.509669
0.097061,0.011525,2.118910
0.099868,0.008446,2.244550
0.142414,0.008841,4.953830
0.128932,0.011014,2.933311
0.101672,0.010265,1.105844
0.098580,0.017711,4.949801
0.073982,0.009786,4.498410
0.126494,0.012670,3.433679
0.096084,0.015922,4.264704
0.129267,0.006782,4.881519
0.108810,0.012746,2.633551
0.132726,0.007466,3.997817
0.106254,0.016171,4.745945
0.122837,0.015781,4.685490
0.117090,0.011107,1.016620
0.118993,0.013689,3.191548
0.118378,0.011048,3.187964
0.125773,0.009260,1.881686
0.112937,0.012312,3.019658
0.104299,0.008650,1.199770
0.109095,0.006655,5.059010
0.096818,0.010726,2.073695
0.113718,0.010570,1.976915
0.103977,0.009804,0.844427
0.103293,0.014536,3.733862
0.098967,0.013851,3.267907
0.100764,0.016470,4.620501
0.108337,0.008493,2.955619
0.088268,0.013531,3.596959
0.104289,0.009236,1.810959
0.093330,0.015086,4.226601
0.081240,0.013691,4.540114
0.106303,0.007035,4.601175
0.125261,0.008752,3.521428
0.096000,0.010614,3.957737
0.121093,0.012647,3.956773
0.117960,0.007556,3.058743
0.077329,0.014550,4.620306
0.089698,0.009034,4.593100
0.092667,0.011389,3.852151
0.105117,0.010646,2.238959
0.152210,0.008095,4.786518
0.126343,0.011448,4.175442
0.128882,0.013172,3.767758
0.117199,0.014418,3.520846
0.102928,0.015822,4.379978
0.085247,0.009953,2.276165
0.088358,0.013983,4.602471
0.125858,0.017592,5.019347
0.120501,0.012004,3.802173
0.127861,0.009313,3.345416
0.102028,0.014879,4.197008
0.107686,0.011031,1.244281
0.096874,0.011105,1.434938
0.105995,0.017097,4.874472
0.098051,0.016364,4.775192
0.118802,0.014029,3.034572
0.128307,0.009399,1.172598
0.097841,0.010170,2.665500
0.084682,0.010029,4.157215
0.107298,0.011704,1.994915
0.086558,0.012852,3.376947
0.082390,0.012953,4.968349
0.107528,0.015992,4.268852
0.139360,0.010937,2.271274
0.108621,0.007638,3.041751
0.113321,0.015471,4.230618
0.113385,0.011497,3.087628
0.108183,0.010839,2.177034
0.107203,0.011986,1.894254
0.124981,0.010597,3.612733
0.109663,0.016619,4.224470
0.118337,0.012552,3.274666
0.132202,0.013957,4.132936
0.098282,0.012953,3.178211
0.123703,0.016287,4.106371
0.147990,0.009732,4.079195
0.108942,0.010946,1.987538
0.100748,0.011890,2.353832
0.109944,0.009344,0.805869
0.112546,0.012909,4.033491
0.079319,0.010211,4.252332
0.105036,0.008696,2.000055
0.100697,0.018089,5.079895
0.127791,0.010510,4.981131
0.103232,0.010124,2.079807
0.081556,0.014658,5.128921
0.115338,0.011380,2.559814
0.125397,0.013667,4.342559
0.114128,0.011699,2.403111
0.112591,0.013255,2.846124
0.127340,0.014685,3.717445
0.141013,0.008074,4.492155
0.104404,0.015800,3.792052
0.145777,0.010148,4.842044
0.099405,0.011612,2.205970
0.115248,0.007762,3.034156
0.110898,0.014979,4.640704
0.100222,0.015425,4.173055
0.129518,0.012657,2.346952
0.104496,0.016355,4.708671
0.117956,0.009547,1.105712
0.106847,0.009350,1.720298
0.096323,0.015378,4.119774
0.113926,0.016105,4.393249
0.121876,0.008948,1.779686
0.109428,0.018055,5.047923
0.106895,0.015399,4.300555
0.098427,0.011504,2.035451
0.107963,0.013143,2.690105
0.134276,0.007641,4.623115
0.102000,0.009319,3.454832
0.088633,0.010891,3.150973
0.128879,0.010260,4.382169
0.102855,0.016102,4.895271
0.119020,0.014745,4.281979
0.105418,0.010472,2.206962
0.089132,0.011715,2.604077
0.097885,0.014378,4.225640
0.133212,0.008821,3.399317
0.107523,0.011200,3.454629
0.130483,0.012221,3.920906
0.103942,0.013538,3.062003
0.115366,0.011332,2.273308
0.098182,0.016796,4.679465
0.117036,0.011512,2.423448
0.091875,0.013202,4.683300
0.098686,0.008199,2.553253
0.117115,0.008159,3.766681
0.119501,0.013278,2.972775
0.105383,0.010482,2.390973
0.095130,0.014515,4.490674
0.110509,0.012242,3.044445
0.077569,0.010565,4.758223
0.097201,0.012209,1.985886
0.109925,0.009603,0.895562
0.115846,0.015681,4.106262
0.106096,0.010597,0.660475
0.117759,0.011458,3.477410
0.088720,0.014083,4.110936
0.083667,0.010298,3.978020
0.100003,0.016945,4.949421
0.100469,0.009668,1.509475
0.106676,0.010444,3.285669
0.120524,0.007684,3.269053
0.093125,0.007288,3.618753
0.096121,0.012674,3.090588
0.120460,0.010762,1.276400
0.099548,0.007137,4.497858
0.129655,0.012512,3.004580
0.102770,0.014433,3.515888
0.111888,0.009498,1.092359
0.102055,0.015213,4.158325
0.105609,0.016334,4.479633
0.103371,0.011010,1.408723
0.089020,0.015305,4.796621
0.101170,0.011991,1.708513
0.101382,0.010831,0.908010
0.102488,0.016608,4.515408
0.132931,0.012109,2.633325
0.102124,0.017366,4.831386
0.107052,0.015331,3.928649
0.095726,0.008879,3.595130
0.093607,0.015146,3.922440
0.112947,0.011279,1.401037
0.093574,0.011191,2.192407
0.120619,0.010882,0.951482
0.112158,0.013970,3.577589
0.088092,0.011585,2.012041
0.099846,0.013548,3.853925
0.085595,0.013761,4.702467
0.115205,0.008093,3.043147
0.117259,0.014248,3.245214
0.103121,0.007099,4.262050
0.102758,0.013837,3.645995
0.111092,0.010365,2.097978
0.107171,0.007327,4.495778
0.113203,0.014472,4.797807
0.125614,0.007841,3.692580
0.091621,0.013404,3.439464
0.095897,0.013607,3.628126
0.088256,0.012107,2.457074
0.131722,0.010357,3.189807
0.107616,0.011869,1.630741
0.097683,0.014389,4.810144
0.116983,0.007607,3.069544
0.121343,0.010616,1.767956
0.129277,0.008334,2.585269
0.120615,0.008959,2.450541
0.114647,0.012309,3.002059
0.104194,0.008839,1.864596
0.094789,0.015683,4.946502
0.127865,0.008333,4.271918
0.107017,0.014352,3.189207
0.118506,0.010707,2.380260
0.104738,0.012182,2.210076
0.143551,0.007897,4.299420
0.120969,0.015357,4.214101
0.118937,0.014952,4.201148
0.099563,0.015867,4.237007
0.127128,0.010096,2.871719
0.119215,0.012168,2.838747
0.144238,0.010452,4.750128
0.101200,0.010439,1.456506
0.105188,0.016031,4.458917
0.095200,0.009280,2.613054
0.127106,0.008204,4.645090
0.100920,0.014717,3.876994
0.120602,0.011018,1.929556
0.110524,0.018174,5.086164
0.130234,0.012508,3.565579
0.118399,0.012750,3.885654
0.130692,0.011927,3.182051
0.131335,0.012246,4.153588
0.114824,0.018473,5.076918
0.100852,0.016107,4.565088
0.106610,0.011149,2.239942
0.105733,0.007119,4.964981
0.090551,0.007760,4.512760
0.105325,0.012305,2.699393
0.087033,0.009730,3.736758
0.106854,0.013115,2.666190
0.112053,0.006993,4.076787
0.129770,0.011378,3.869326
0.114918,0.017795,4.680924
0.117877,0.009020,1.374001
0.104216,0.016753,4.838463
0.080836,0.011255,3.731997
0.134488,0.009075,3.979381
0.100882,0.011644,2.335282
0.123598,0.009665,1.588693
0.101690,0.013644,3.571675
0.122374,0.008751,3.781745
0.095920,0.010750,1.117859
0.095591,0.007267,5.051237
0.101787,0.011901,2.226918
0.107041,0.014141,3.343168
0.086722,0.012224,3.002459
0.136238,0.008615,3.392905
0.121889,0.008879,1.848418
0.081419,0.011815,4.654934
0.110428,0.009514,0.986181
0.142600,0.009302,4.266354
0.112300,0.014913,3.774123
0.108082,0.014728,4.073383
0.130045,0.013898,3.489563
0.107528,0.012896,3.180410
0.125767,0.008866,2.744318
0.114906,0.006987,4.686298
0.123033,0.014094,4.095259
0.105238,0.008116,2.876915
0.088149,0.017607,5.030084
0.100217,0.010231,1.103553
0.099310,0.013754,3.146444
0.113487,0.016193,4.123809
0.125630,0.011194,2.543381
0.127181,0.010900,2.583254
0.102260,0.012798,2.292577
0.094144,0.006778,4.838205
0.108504,0.018206,5.035274
0.120636,0.010753,3.548020
0.099587,0.011767,2.410021
0.142547,0.007688,4.363169
0.083862,0.009374,4.853094
0.097130,0.007765,2.887834
0.106335,0.014454,3.271369
0.087125,0.015095,4.154595
0.109378,0.011781,3.465131
0.117914,0.011827,2.154751
0.092226,0.014759,3.902127
0.098454,0.013799,2.992413
0.117768,0.010856,1.826672
0.133993,0.013229,4.019910
0.087164,0.015939,4.960760
0.098243,0.007147,4.826576
0.116856,0.006790,4.255326
0.122524,0.012300,3.567375
0.106272,0.006824,4.122662
0.106220,0.016214,4.765567
0.104103,0.007211,3.483899
0.122425,0.014176,3.822757
0.095704,0.017523,4.895864
0.109351,0.010185,2.686118
0.092708,0.015756,5.052939
0.099185,0.010132,2.017019
0.121632,0.010158,1.833728
0.111853,0.015332,3.619836
0.089641,0.011732,2.573482
0.115259,0.009354,2.347663
0.102131,0.016254,4.457411
0.099288,0.014422,3.430440
0.119015,0.009042,2.798439
0.115488,0.007389,3.176802
0.102071,0.012374,3.154744
0.105029,0.007372,3.836159
0.102732,0.007434,3.380605
0.133181,0.011267,4.398331
0.106074,0.015342,4.559150
0.097074,0.015414,4.368664
0.110278,0.016762,4.632665
0.132262,0.011030,4.499295
0.134086,0.009471,3.438756
0.100543,0.009592,1.733897
0.090356,0.012499,3.328471
0.130392,0.007300,5.108519
0.103765,0.013553,2.964217
0.111997,0.016075,4.842436
0.102582,0.010895,1.671254
0.103880,0.011155,1.638955
0.091696,0.009179,1.645127
0.134952,0.007261,4.826648
0.113204,0.010316,1.969794
0.103867,0.014883,4.214872
0.103474,0.015315,4.110575
0.120867,0.014473,2.983684
0.092032,0.012479,3.053586
0.104130,0.010784,1.681443
0.120934,0.013188,3.214367
0.114014,0.011270,2.511558
0.088785,0.013150,3.216435
0.103940,0.015903,4.356924
0.115429,0.013531,3.717612
0.142602,0.009212,3.934313
0.091890,0.017381,4.879075
0.081282,0.010907,4.195136
0.105827,0.016721,4.558279
0.099223,0.009640,1.800322
0.118974,0.013233,2.886718
0.102091,0.013484,3.636949
0.092519,0.012039,2.901581
0.133908,0.008053,3.343296
0.099343,0.017474,5.002959
0.098363,0.007671,4.357000
0.093107,0.012144,2.632890
0.095071,0.016139,4.654577
0.128123,0.011840,3.246128
0.087632,0.011545,3.133242
0.081203,0.013732,4.219121
0.095378,0.014122,2.991812
0.109934,0.007581,2.308045
0.106381,0.007675,3.069447
0.111486,0.013017,3.666063
0.088875,0.012193,3.159027
0.118014,0.015857,3.843895
0.081584,0.010157,4.604673
0.099275,0.007019,4.965155
0.110932,0.011363,1.856013
0.129845,0.009022,2.626550
0.097294,0.015752,5.111704
0.119447,0.008148,3.287613
0.151266,0.009123,4.281790
0.104249,0.013666,3.987994
0.109204,0.007552,2.742457
0.107076,0.008400,2.162636
0.115543,0.014051,3.678112
0.121624,0.008010,3.850065
0.089109,0.014859,3.761448
0.118924,0.008286,2.068072
0.122495,0.006804,4.102807
0.100675,0.015336,3.925717
0.132642,0.008552,3.512741
0.103648,0.009901,0.882432
0.108237,0.012995,2.831449
0.131297,0.007305,4.454481
0.133354,0.007875,3.365616
0.122112,0.010410,2.775415
0.100729,0.013634,2.951853
0.097375,0.013085,3.314029
0.093595,0.014446,3.660919
0.107164,0.008392,3.114662
0.093695,0.014156,3.607346
0.113815,0.010353,1.400954
0.108218,0.012869,3.420367
0.114739,0.015889,4.710442
0.101174,0.015570,4.467742
0.093989,0.016662,5.057835
0.112119,0.013810,2.850731
0.145674,0.009873,4.006470
0.137807,0.009407,3.801246
0.111499,0.011036,1.891439
0.130965,0.007594,4.120279
0.103266,0.014168,3.287329
0.112411,0.012097,2.663381
0.134859,0.013682,4.809416
0.131028,0.011106,4.439531
0.099715,0.009237,2.044394
0.121420,0.011659,2.647123
0.105718,0.009078,3.012843
0.109567,0.017948,4.888205
0.101880,0.015417,3.770199
0.113258,0.014571,3.187844
0.087896,0.009024,3.443536
0.090485,0.014105,3.936550
0.086527,0.011787,4.894199
0.118786,0.009866,1.182487
0.124966,0.014571,4.830430
0.086874,0.010048,3.097491
0.114923,0.016550,4.707913
0.103406,0.012352,2.467069
0.110272,0.017271,5.060732
0.089973,0.012537,3.238214
0.085341,0.010431,4.334794
0.106279,0.013214,2.816691
0.104565,0.011410,1.488746
0.134339,0.008307,4.436920
0.109008,0.007974,3.165702
0.125152,0.009423,1.732580
0.095039,0.013993,4.050278
0.096954,0.012565,2.835119
0.085785,0.011790,2.404547
0.100504,0.008092,2.803869
0.132892,0.012197,4.281518
0.112655,0.015817,4.156923
0.132449,0.007943,4.079922
0.134843,0.009275,4.009239
0.130806,0.007883,3.003517
0.102471,0.015608,4.478810
0.118049,0.012253,3.813571
0.124686,0.015227,4.858813
0.100076,0.014868,4.124147
0.128259,0.007480,4.143405
0.097069,0.012192,2.806849
0.096865,0.011641,1.673673
0.112721,0.015074,4.010601
0.111612,0.011346,1.826497
0.124031,0.012912,2.502786
0.100988,0.008863,2.818961
0.102936,0.007361,4.065244
0.121181,0.010945,2.189495
0.125451,0.011229,3.191174
0.101146,0.016033,4.136619
0.101556,0.014991,4.096614
0.101665,0.012435,2.728204
0.117129,0.017257,5.035819
0.127062,0.010767,3.306535
0.101372,0.010968,1.289405
0.116360,0.013661,4.756490
0.088233,0.016980,5.082219
0.117113,0.009514,1.483385
0.106800,0.008632,4.788787
0.090763,0.007049,4.432544
0.128405,0.016833,4.995305
0.092664,0.015030,3.675400
0.080067,0.013544,4.919049
0.092511,0.010168,3.169231
0.136912,0.008654,4.259006
0.103181,0.015783,3.982859
0.134619,0.012253,4.512622
0.103144,0.012998,2.588988
0.135016,0.011117,4.689821
0.091640,0.007141,4.446742
0.139770,0.011640,4.244553
0.095091,0.010516,1.701814
0.097413,0.012050,1.878796
0.093475,0.009308,3.834171
0.120040,0.009745,3.302702
0.113191,0.007795,2.892347
0.114765,0.010901,1.308662
0.144492,0.009344,4.286487
0.074900,0.008855,4.522158
0.102098,0.014110,3.748056
0.109868,0.015964,4.447373
0.111716,0.015727,4.994431
0.114307,0.007150,3.753652
0.115576,0.014205,3.437625
0.118421,0.012421,2.153513
0.098899,0.010806,1.334114
0.115523,0.016275,5.069254
0.099740,0.010915,1.403552
0.101346,0.012473,3.214086
0.099231,0.013058,3.195382
0.106229,0.008195,2.086715
0.127471,0.008192,3.787865
0.123841,0.007184,4.543274
0.093223,0.014332,4.555802
0.114727,0.017583,4.988981
0.080184,0.013300,3.665077
0.106792,0.010496,0.889362
0.118387,0.014024,4.210588
0.116314,0.014987,4.169313
0.112488,0.014543,3.679198
0.128450,0.015055,4.126246
0.095616,0.007423,5.088328
0.080478,0.011686,4.066841
0.133307,0.009003,3.049257
0.124103,0.012985,4.334002
0.095981,0.013098,2.797273
0.115643,0.017367,4.892345
0.092545,0.008775,2.078951
0.101595,0.008901,1.589825
0.090035,0.009094,2.706798
0.109670,0.011993,3.037932
0.128731,0.010751,4.258536
0.102720,0.011530,1.745553
0.118340,0.009692,1.448603
0.120601,0.008672,1.845624
0.106356,0.012627,1.936415
0.101864,0.011614,2.139685
0.087968,0.014767,4.132308
0.095239,0.012304,2.641036
0.103030,0.012282,2.291921
0.140928,0.008855,4.838127
0.096061,0.013324,2.849012
0.107618,0.013709,2.884215
0.101769,0.010184,1.168806
0.115951,0.008750,2.142569
0.115238,0.014493,3.349636
0.094317,0.012870,3.179242
0.108905,0.018124,5.062404
0.091685,0.006913,4.571915
0.113354,0.010197,2.465398
0.114286,0.009194,1.754636
0.118382,0.014574,3.919174
0.086591,0.014353,3.795663
0.090271,0.012852,3.630751
0.089928,0.016142,4.542922
0.143627,0.009084,4.757070
0.117475,0.016984,4.565624
0.101938,0.013099,2.935910
0.124219,0.011475,3.949032
0.108242,0.006723,4.252070
0.097306,0.013734,3.466575
0.114308,0.008317,2.390659
0.112519,0.008313,2.510777
0.095207,0.007902,4.050825
0.116523,0.013748,3.226529
0.098579,0.012882,2.552591
0.122138,0.016557,5.088188
0.127809,0.007754,4.489798
0.099116,0.006642,4.922901
0.109002,0.014109,3.369786
0.087314,0.014243,4.091092
0.102772,0.010066,0.512724
0.085095,0.013708,4.181926
0.138801,0.010568,4.178868
0.111702,0.012614,2.586781
0.083628,0.010986,4.688979
0.107483,0.015113,4.188343
0.096042,0.008504,2.325506
0.109256,0.017022,4.486360
0.141747,0.008673,4.517578
0.106510,0.013681,3.297047
0.120538,0.010434,2.916801
0.121443,0.007065,4.710702
0.081705,0.013543,4.941333
0.121613,0.009963,2.557643
0.122797,0.012017,3.628910
0.114441,0.017082,4.624758
0.087169,0.013061,3.706949
0.121607,0.016055,4.406885
0.089440,0.015421,4.465362
0.117772,0.016362,4.774284
0.112482,0.009052,1.561391
0.117519,0.009420,1.801418
0.125583,0.016071,4.192721
0.096300,0.016386,4.509626
0.108411,0.017505,5.075371
0.093776,0.012433,3.477792
0.097965,0.009467,1.274310
0.103885,0.012628,2.426270
0.117291,0.011987,1.958201
0.103884,0.015875,4.522744
0.109096,0.016874,4.243662
0.123048,0.010524,3.479802
0.118360,0.006703,4.805078
0.087846,0.012604,4.651569
0.104275,0.011691,1.748199
0.082632,0.015697,4.714887
0.089822,0.009615,1.466451
0.102967,0.008136,2.708991
0.095208,0.014878,4.853446
0.114944,0.011483,2.892288
0.101974,0.009559,2.783868
0.109524,0.016163,4.167463
0.109222,0.015233,3.653062
0.091088,0.013452,3.256795
0.119691,0.011890,3.344778
0.111456,0.010853,2.119428
0.109317,0.017616,5.110623
0.106183,0.015891,4.566897
0.136081,0.009667,2.992922
0.123636,0.012497,3.275891
0.105889,0.007693,3.468717
0.113586,0.009095,1.341326
0.105348,0.010193,1.877714
0.105712,0.011217,1.838573
0.095074,0.009342,2.276842
0.096080,0.009223,3.594534
0.110050,0.012624,3.525440
0.108562,0.014853,3.792902
0.102192,0.008044,2.548532
0.113082,0.009559,1.476943
0.098697,0.008341,2.640479
0.098051,0.010942,1.362503
0.112135,0.014300,3.294837
0.113793,0.007353,3.631842
0.098398,0.008262,3.505129
0.155141,0.008174,4.375816
0.088906,0.009155,2.380895
0.140118,0.007262,4.213072
0.110467,0.014318,3.177264
0.081043,0.013373,4.322774
0.109405,0.012989,2.303924
0.102904,0.015898,4.159248
0.120655,0.010595,2.613900
0.090022,0.010412,1.803870
0.105222,0.014013,3.028053
0.091887,0.010224,3.779119
0.090937,0.012964,3.407505
0.110647,0.007843,3.589105
0.116767,0.009418,1.748212
0.095309,0.012175,2.245928
0.107220,0.009524,1.227211
0.096250,0.008037,2.731272
0.095947,0.012182,2.491095
0.114047,0.011456,1.621123
0.107828,0.007673,2.444952
0.111811,0.014024,3.342982
0.116985,0.012453,4.773295
0.121756,0.014605,3.974611
0.106730,0.016829,4.336158
0.090314,0.008300,4.659994
0.114312,0.008959,1.994986
0.100721,0.013001,2.412073
0.090279,0.014901,3.643210
0.100467,0.011809,1.911783
0.153631,0.010460,5.033199
0.108868,0.013350,2.850117
0.084146,0.010425,4.819267
0.095804,0.013968,3.314234
0.098416,0.011885,2.151279
0.117497,0.009251,1.527683
0.105885,0.010222,1.393108
0.106015,0.017107,4.919275
0.080530,0.011472,3.936249
0.092675,0.016345,4.312930
0.091920,0.016451,5.067046
0.109937,0.011076,1.462900
0.127711,0.012379,4.798973
0.099550,0.014228,3.463711
0.107620,0.015358,4.388457
0.106483,0.014872,3.991747
0.108145,0.009683,0.974198
0.122318,0.009034,2.775145
0.106856,0.012346,2.473460
0.117450,0.013023,4.849703
0.114773,0.007952,3.468647
0.094554,0.012706,3.083546
0.140741,0.011499,5.049530
0.085247,0.015139,4.125204
0.107770,0.010537,0.926454
0.097264,0.009524,2.809999
0.106660,0.006431,5.025324
0.140008,0.011906,3.664074
0.130463,0.010460,2.775956
0.108690,0.016240,4.209014
0.117884,0.007618,3.862406
0.128669,0.011681,2.922119
0.090766,0.014382,4.181819
0.099484,0.016825,4.867394
0.120599,0.007392,3.944301
0.113690,0.017188,4.209075
0.103179,0.016331,4.130475
0.108607,0.014215,3.246739
0.099553,0.014341,3.528317
0.100905,0.010177,1.263292
0.105350,0.014263,4.202513
0.133297,0.015517,4.584566
0.119590,0.016625,4.982815
0.117346,0.007743,3.405991
0.134678,0.015992,4.916897
0.125906,0.013688,4.139145
0.108486,0.014560,4.588401
0.121742,0.008981,1.436728
0.077447,0.009507,4.734109
0.096252,0.010598,1.235822
0.101648,0.015439,4.514854
0.118596,0.014309,3.632621
0.117420,0.006608,4.588941
0.112480,0.016138,4.001332
0.079178,0.013434,4.653874
0.112109,0.012106,2.739174
0.094706,0.007792,4.539579
0.106517,0.014849,4.231371
0.131214,0.013909,3.671806
0.094585,0.011587,2.885387
0.103879,0.008543,2.227845
0.122559,0.014762,3.591242
0.101230,0.008829,1.711877
0.088330,0.013255,2.945289
0.111317,0.010798,2.571639
0.116174,0.015088,3.984690
0.094985,0.012967,4.837438
0.111306,0.014788,3.785761
0.110904,0.015123,3.750360
0.092736,0.008455,1.993540
0.090497,0.008444,4.273665
0.092301,0.012365,2.893535
0.119580,0.016156,5.122073
0.128542,0.014678,4.240708
0.119316,0.008666,1.819306
0.090905,0.008822,2.762814
0.104291,0.011065,1.559990
0.083813,0.014820,4.704340
0.111638,0.017031,4.824199
0.111316,0.016179,4.250811
0.086930,0.013483,2.830661
0.103360,0.013168,2.811639
0.093485,0.012719,3.382276
0.123743,0.013565,3.230998
0.097130,0.010268,2.997296
0.093520,0.013852,4.912353
0.110066,0.014126,3.155864
